,Sentences,Speaker
298,"The first thing to know is to understand that, that—and we’ve called that out, as you, I’m sure, know, in one of our recent Monetary Policy Reports to Congress.",CHAIR POWELL.
299,"The sort of rural–urban disparities in—you know, in employment, in growth, in all kinds of things, in health outcomes.",CHAIR POWELL.
300,"You know, it’s a big and growing difference—set of differences.",CHAIR POWELL.
301,"We don’t really have, you know, the tools to address that, but we call things out that are important to our economy that we may not be—that we might have—may not have the right tools to best address them, but we call them out because, you know, we’re spending all of our time with the economy, and those are issues that maybe have to be addressed by legislatures and, you know, by—at the national level and at the state level.",CHAIR POWELL.
302,"Oh, could I follow?",GREG ROBB.
303,"Sorry, could I follow?",GREG ROBB.
304,Could—sorry.,GREG ROBB.
305,"Just, so—so are you asking Congress to do something now, or will you ask them to do something down the road?",GREG ROBB.
306,I’m not asking Congress to do anything right now.,CHAIR POWELL.
307,I sometimes have noted that it would be appropriate.,CHAIR POWELL.
308,"Let me put it this way:  We do what we do, which is, we’re assigned a job, which is maximum employment and stable prices.",CHAIR POWELL.
309,We do financial stability.,CHAIR POWELL.
310,We do bank regulation.,CHAIR POWELL.
311,"The U.S. economy faces significant longer-term challenges around potential growth, around labor force participation, around disparities of income and wealth, around all kinds of things.",CHAIR POWELL.
312,"And those are issues for Congress, and they’re not issues for us.",CHAIR POWELL.
313,"But if you really want the U.S. economy to be all it can be and raise the potential growth rate of the United States, you need—you need proper monetary policy.",CHAIR POWELL.
314,"But, really, it isn’t monetary policy.",CHAIR POWELL.
315,"Really, it’s fiscal policy that supports, you know, inclusive growth.",CHAIR POWELL.
316,Don Lee with the L.A. Times.,DON LEE.
317,"I think you said, Chair Powell, that the primary positive development in risks to the outlook was on trade and, specifically, the prospects for a phase-one agreement with China.",DON LEE.
318,"But, given the ups and downs of the trade dispute and that, you know, several truces and tentative deals have fallen through, are you concerned about developing monetary policy guidance, if you will, that’s dependent a good part on the wins of the trade negotiations?",DON LEE.
319,"Yes, I know, that’s—I wouldn’t—that’s not how I would characterize it.",CHAIR POWELL.
320,"I would just—I noted that it may be that there’s been progress there toward—away from bad outcomes and confrontational outcomes, and it seems like there’s the makings of a possible settlement there.",CHAIR POWELL.
321,"I didn’t say we’re baking that in or anything, but I’m just noting that that’s the case.",CHAIR POWELL.
322,As with Brexit—it’s still quite uncertain what will be the result of the election and what the ultimate result will be.,CHAIR POWELL.
323,"But I would say that the tail risk of a nonnegotiated no-deal Brexit seems to have decreased, just as I would say that the situation in our trade negotiations with China seems to have taken a step closer to resolution.",CHAIR POWELL.
324,That’s all I’m saying.,CHAIR POWELL.
325,"If I could follow up, if the phase-one agreement, then, doesn’t work out, then would we be back at, you know, making, you know, monetary policy that— CHAIR POWELL.",DON LEE.
326,"That’s one factor among many, many factors that factor into our assessment of the outlook.",DON LEE.
327,"And if we see—if we have—if we—if things happen that cause us to materially reassess the outlook, change our assessment of the outlook in a material way, then we would act accordingly.",DON LEE.
328,Virginie Montet with the Agence France-Presse.,VIRGINIE MONTET.
329,Thank you.,VIRGINIE MONTET.
330,The Fed has pointed out many times in the past the rising inequality over those past decades and how that could be a factor behind sluggish growth.,VIRGINIE MONTET.
331,"In light of the recent outcome of the strike at General Motors, do you see the union having a role to play, helping to raise lower and middle incomes and promoting more shared growth in the long run?",VIRGINIE MONTET.
332,"So, not for us to say what the appropriate labor arrangements will be.",CHAIR POWELL.
333,"I will just say, on the General Motors strike, it’s—it’s likely to have taken away a couple of tenths of growth this quarter.",CHAIR POWELL.
334,"That’s likely to come back, maybe, over the first half of next year.",CHAIR POWELL.
335,And I think it’s good to see it settled.,CHAIR POWELL.
336,But I’m not going to comment on what the appropriate labor arrangements are.,CHAIR POWELL.
337,That’s a little bit far afield from our task here.,CHAIR POWELL.
338,Thank you.,CHAIR POWELL.
339,"Thank you, Chairman.",PAUL KIERNAN.
340,Paul Kiernan from Dow Jones Newswires.,PAUL KIERNAN.
341,"[Inaudible] Oh, I was wondering what that was.",PAUL KIERNAN.
342,Paul Kiernan from Dow Jones Newswires.,PAUL KIERNAN.
343,"Thank you—thank you, Chairman.",PAUL KIERNAN.
344,"Wondering if you would categorize the current stance of monetary policy as accommodative, or if it’s just, you know, that neutral was lower than we thought at this time last year.",PAUL KIERNAN.
345,"Secondly, you know, we’re now two years removed from the Tax Cuts and Jobs Act, and the economy is growing at about the same pace it was before—2 percent.",PAUL KIERNAN.
346,"So, given your mention of fiscal policy and the role it plays in supporting long-term growth, you know, is it fair to say that the Tax Cuts and Jobs Act worked the way it was supposed to?",PAUL KIERNAN.
347,Thanks.,PAUL KIERNAN.
348,"Sorry, say again what your first question was?",CHAIR POWELL.
349,"I wrote it down, I can’t—  PAUL KIERNAN.",CHAIR POWELL.
350,Sorry—if policy is accommodative right now.,CHAIR POWELL.
351,"Ah, yes.",CHAIR POWELL.
352,Okay.,CHAIR POWELL.
353,"So if you look at where the federal funds rate is trading, it should be in the middle of, or maybe the lower half of, the range of 150 to 175.",CHAIR POWELL.
354,So that means the real rate is probably modestly below zero.,CHAIR POWELL.
355,I think my own sense would be that that’s somewhat accommodative policy.,CHAIR POWELL.
356,"I would say, though, that there’s a range of plausible estimates of what the neutral rate of interest is, and I think many of those who make such estimates have moved their estimate down over the course of many years, and that process continues.",CHAIR POWELL.
357,"But, nonetheless, that seems to me to be very likely to be an accommodative stance of policy, and an appropriate stance, given the situation we’re in with continuing downside risks and—that I mentioned.",CHAIR POWELL.
358,So— JEAN YUNG.,CHAIR POWELL.
359,Hi.,CHAIR POWELL.
360,Jean Yung from Market News.,CHAIR POWELL.
361,I wanted to ask about financial stability risks.,CHAIR POWELL.
362,"Recently, the IMF and some other global policymakers have been expressing concerns over the high level of risky corporate debt.",CHAIR POWELL.
363,"So as rates get lower in the U.S. and around the world, are you more worried about financial stability risks and reach-for-yield?",CHAIR POWELL.
364,So we monitor financial stability risks very carefully all of the time.,CHAIR POWELL.
365,"It’s what we do since the financial crisis, as I’ve mentioned before.",CHAIR POWELL.
366,"Currently, we don’t see large imbalances.",CHAIR POWELL.
367,This long expansion is notable for the lack of large financial imbalances like the ones we’ve seen certainly before the crisis happened.,CHAIR POWELL.
368,"So we have a four-part framework, I’ll quickly mention.",CHAIR POWELL.
369,"The first is leverage in the financial system, which is low by historical standards.",CHAIR POWELL.
370,"The second is funding risk, which is the risk of runnable funding, and that risk is also quite low for banks but also for, you know, the nonbanking financial sector.",CHAIR POWELL.
371,"If you look at asset prices, we see some high asset prices but not broadly across a range.",CHAIR POWELL.
372,We don’t see bubbles and that kind of thing.,CHAIR POWELL.
373,"And that leaves the fourth, which is leverage in the nonfinancial sector, and that’s households and businesses.",CHAIR POWELL.
374,"So with households, again, we don’t see leverage.",CHAIR POWELL.
375,We see them actually getting in very good shape financially in the aggregate.,CHAIR POWELL.
376,"Obviously, plenty of households are not in great shape financially, but in the aggregate, the household sector is in a very good place.",CHAIR POWELL.
377,"That leaves businesses, which is where the issue has been.",CHAIR POWELL.
378,"Leverage among corporations and other forms of business, private businesses, is historically high.",CHAIR POWELL.
379,We’ve been monitoring it carefully and taking appropriate steps.,CHAIR POWELL.
380,"So that’s what I would say, but it’s—corporate debt is one part of a larger part of our framework, and it is something that we’re paying quite a bit of attention to.",CHAIR POWELL.
381,"And it’s been part of the last couple of Shared National Credit exams, and we’ve been monitoring it carefully and taking appropriate action.",CHAIR POWELL.
382,Hi.,NANCY MARSHALL-GENZER.
383,Nancy Marshall-Genzer with Marketplace.,NANCY MARSHALL-GENZER.
384,Have the problems in the repo market led you to look into whether the liquidity and capital requirements for banks are too high?,NANCY MARSHALL-GENZER.
385,Is that something that the Fed might review?,NANCY MARSHALL-GENZER.
386,"So we’re—I think, again, I think the most important basic thing is to get the level of reserves back up so that—reserves move up and down with some volatility.",CHAIR POWELL.
387,"We don’t want them to move below the level they were at in the beginning of September, which is, again, between $1.45 and $1.5 trillion.",CHAIR POWELL.
388,"That’s the main thing, that’s the first thing.",CHAIR POWELL.
389,"And we’re on a path to do that, between our temporary open market operations and also our bill purchases.",CHAIR POWELL.
390,"In addition to that—in addition to that, we’re looking at—there are—it’s a big, complicated marketplace, and there was the—one of the surprises, as I mentioned, was that banks that had told us that their lowest comfortable level of reserves was here.",CHAIR POWELL.
391,"They were well above that, and yet they didn’t deploy that liquidity when there seemed to be great opportunities to do that.",CHAIR POWELL.
392,That didn’t happen.,CHAIR POWELL.
393,So why is that?,CHAIR POWELL.
394,"And so, we’re doing careful analysis of that.",CHAIR POWELL.
395,"You ask, would we lower capital and liquidity requirements because of this?",CHAIR POWELL.
396,I don’t think so.,CHAIR POWELL.
397,I don’t think that’s where this goes.,CHAIR POWELL.
398,"I think where it may go, though, is to look at, for example, intraday liquidity, which used to be a common thing.",CHAIR POWELL.
399,"It used to be a common thing for banks to have intraday liquidity from the Fed, what are called “daylight overdrafts.”  That’s something we can look at.",CHAIR POWELL.
400,"Also, there are just a few technical things that we can look at that would perhaps make the liquidity that we have—which we think is ample in the financial system—move more freely and be more liquid, if you will.",CHAIR POWELL.
401,"And those are things we would do, but only if we can do it without compromising safety or soundness or financial stability.",CHAIR POWELL.
402,"Thank you very much, Chairman Powell.",NAOATSU AOYAMA.
403,"Naoatsu Aoyama from the Asahi Shimbun, a Japanese newspaper.",NAOATSU AOYAMA.
404,"Given this sustained level of low inflation, even in—even in this country, do you think—so there seems to be a higher possibility that lower inflation expectations will remain going forward.",NAOATSU AOYAMA.
405,"So do you think a Japan-like situation, or “Japanification” of chronically low inflation and interest rates—the U.S. is getting trapped by the Japanification of this situation?",NAOATSU AOYAMA.
406,Do you think so?,NAOATSU AOYAMA.
407,"So we—we, of course, have watched the situation in Japan and now the situation in Europe, and we—we note that there are significant disinflationary pressures around the world.",CHAIR POWELL.
408,And we don’t think we’re exempt from those.,CHAIR POWELL.
409,"But, of course, if you look at our current inflation performance, it hasn’t been anything like what we’ve seen in those other places.",CHAIR POWELL.
410,"But we don’t think—again, we don’t think we’re exempt from those pressures, and we are, therefore, strongly committed to having inflation expectations anchored at the level that is consistent with the symmetric 2 percent inflation objective.",CHAIR POWELL.
411,"That’s what we’re committed to, and we’ll use our tools to achieve.",CHAIR POWELL.
412,So we take—we take the risk very seriously.,CHAIR POWELL.
413,It’s not—the risk isn’t that inflation might run a couple tenths below 2 percent.,CHAIR POWELL.
414,"The risk is that what we’ve seen is other economies getting on a disinflationary path, that it’s been very hard for them to get off.",CHAIR POWELL.
415,"Once inflation expectations start sliding down, inflation moves down.",CHAIR POWELL.
416,"You have less—interest rates move down as well, because there’s an inflation component in interest rates.",CHAIR POWELL.
417,"And, you know, we think that the right thing to do is to do what we can now to hold and really move inflation expectations up so that they’re squarely and firmly anchored at a level that’s consistent with 2 percent inflation.",CHAIR POWELL.
418,Hi.,BRIAN CHEUNG.
419,Brian Cheung with Yahoo Finance.,BRIAN CHEUNG.
420,"Another type of balance sheet question, but not necessarily focused on the repo crunch—there was a discussion before that, that maybe we should move—or, rather, the Fed should move to a more neutral balance sheet, trying to remove some of the agency mortgage-backed securities that are on the balance sheet and maybe replace them with shorter-term Treasuries.",BRIAN CHEUNG.
421,Not any—I haven’t really heard an update on the composure or the composition of the balance sheet for right now.,BRIAN CHEUNG.
422,"I’m just wondering if the Fed is actively thinking about that right now, and, if so, when we might expect to hear something on that.",BRIAN CHEUNG.
423,"You know, it’s a—it’s an issue, but it’s not an issue that we’re currently working on and—or reaching a decision on or anything like that.",CHAIR POWELL.
424,"The question of the longer-run maturity composition of the balance sheet is a—is a big one, and it’s one we’ll return to over time, but not—not imminently.",CHAIR POWELL.
425,"Chairman Powell, this morning, the President tweeted that we’re seeing the greatest economy in American history.",VIVIENNE NUNIS.
426,"I just wondered, as the Chair of America’s central bank, what you made of that characterization.",VIVIENNE NUNIS.
427,"You know, I’m going to maintain my longtime practice of not—not commenting on anything any elected official would say, but thank you.",CHAIR POWELL.
428,"Okay, thank you.",VIVIENNE NUNIS.
429,Thanks very much.,CHAIR POWELL.
